Language	Stars	GitHub Link
ixgo	140	https://github.com/goplus/ixgo
golang-notebook	140	https://github.com/duffney/golang-notebook
Perk	140	https://github.com/Alex23087/Perk
MiniLang	139	https://github.com/NICUP14/MiniLang
Senegal	139	https://github.com/SenegalLang/Senegal
tre	139	https://github.com/zegl/tre
IntercalScript	139	https://github.com/Storyyeller/IntercalScript
oxide-lang	139	https://github.com/tuqqu/oxide-lang
SwiftyLISP	138	https://github.com/uraimo/SwiftyLISP
lape	138	https://github.com/nielsAD/lape
owoScript	138	https://github.com/fionafibration/owoScript
kou	138	https://github.com/hatashiro/kou
cx	137	https://github.com/emillaine/cx
L2	137	https://github.com/murisi/L2
flip-jump	137	https://github.com/tomhea/flip-jump
pakhi-bhasha	136	https://github.com/Shafin098/pakhi-bhasha
SPATool	135	https://github.com/SummerSec/SPATool
cashscript	135	https://github.com/CashScript/cashscript
yona	135	https://github.com/yona-lang/yona
RiA3	134	https://github.com/Rkabacoff/RiA3
pashmak	134	https://github.com/pashmaklang/pashmak
inet-cute	134	https://github.com/xieyuheng/inet-cute
unseemly	134	https://github.com/paulstansifer/unseemly
typr	133	https://github.com/we-data-ch/typr
river	133	https://github.com/nicbarker/river
Own-Programming-Language-Tutorial	133	https://github.com/aNNiMON/Own-Programming-Language-Tutorial
magpie	132	https://github.com/haifenghuang/magpie
angle	132	https://github.com/pannous/angle
mys	131	https://github.com/mys-lang/mys
Adept	131	https://github.com/AdeptLanguage/Adept
rustbook-de	131	https://github.com/rust-lang-de/rustbook-de
lice	131	https://github.com/lice-lang/lice
mpc	131	https://github.com/markkurossi/mpc
FreakC	129	https://github.com/FreakC-Foundation/FreakC
smudge	129	https://github.com/smudgelang/smudge
whispem-lang	128	https://github.com/whispem/whispem-lang
cicada-solo	128	https://github.com/cicada-lang/cicada-solo
guppylang	128	https://github.com/Quantinuum/guppylang
jstar	128	https://github.com/bamless/jstar
theseus	127	https://github.com/chessai/theseus
rowscript	127	https://github.com/rowscript/rowscript
claw-lang	126	https://github.com/esoterra/claw-lang
tur	126	https://github.com/rezigned/tur
lispBM	126	https://github.com/svenssonjoel/lispBM
ttlite	126	https://github.com/ilya-klyuchnikov/ttlite
LSTS	125	https://github.com/Lambda-Mountain-Compiler-Backend/LSTS
boson-lang	125	https://github.com/Narasimha1997/boson-lang
catspeak-lang	124	https://github.com/katsaii/catspeak-lang
sus-compiler	124	https://github.com/pc2/sus-compiler
nelson	124	https://github.com/nelson-lang/nelson
basil	124	https://github.com/basilTeam/basil
