Language	dirname	runtime	year	github link	github is mirror	gitlab link	sourcehut link	svn link	sourceforge link	wiki link	website link	github stars	Tiobe name	Tiobe Rank	Tiobe rating	pypl name	pypl rank	pypl share	redmonk name	redmonk rank	Linux	Free	CLI	Notes
(Visual) FoxPro	visual-foxpro			https://github.com/VFPX/Win32API								152	(Visual) FoxPro	50	0.23
ABAP	abap												ABAP	37	0.34	Abap	23	0.35			No	No	Limited	SAP-specific
ActionScript	actionscript												ActionScript	51							Yes	Freemium	Limited	Adobe Flash ecosystem
Ada	ada			https://github.com/AdaCore/gnatstudio						https://en.wikipedia.org/wiki/Ada_(programming_language)		503	Ada	20	0.91	Ada	11	2.51			Yes	Yes	Yes	GNAT compiler available
AssemblyScript	assemblyscript	Wasmtime
Emscripten	emscripten	Wasmtime
Go	go	Wasmtime
Grain	grain	Wasmtime
Kotlin	kotlin	Wasmtime
Moonbit	moonbit	Wasmtime
Rust	rust	Wasmtime
Switf	switf	Wasmtime
Zig	zig	Wasmtime
racket	racket		1995	https://github.com/racket/racket						https://en.wikipedia.org/wiki/Racket_(programming_language)	https://racket-lang.org/	5,131
raku	raku		2015	https://github.com/rakudo/rakudo						https://en.wikipedia.org/wiki/Raku_(programming_language)	https://rakudo.org/	1,872
Reason	reason		2015	https://github.com/reasonml/reason						https://en.wikipedia.org/wiki/Reason_(programming_language)		10,304										Yes		OCaml dialect with JavaScript syntax
REBOL	rebol			https://github.com/rebol/rebol								888	REBOL	88							Yes	Yes	Yes	Data exchange language
Red	red		2011	https://github.com/red/red								5,995										Yes		Rebol-inspired programming language
rescript	rescript		2020	https://github.com/rescript-lang/rescript						https://en.wikipedia.org/wiki/Reason_(programming_language)#ReScript	https://rescript-lang.org	7,372
Ring	ring		2016	https://github.com/ring-lang/ring								1,435	Ring	89							Yes	Yes	Yes	Application language
Roc	roc		2021	https://github.com/roc-lang/roc								5,586										Yes		Compiled functional language
RPG	rpg												RPG	90							Yes	Freemium	Yes	IBM i language
RPL	rpl												RPL	91							Limited	No	No	HP calculator
Ruby	ruby		1995	https://github.com/ruby/ruby						https://en.wikipedia.org/wiki/Ruby_(programming_language)	https://www.ruby-lang.org/	23,556	Ruby	29	0.54	Ruby	15	0.95	Ruby	9
ruby		artichoke	2019	https://github.com/artichoke/artichoke												#REF!	#REF!
rune	rune		2020	https://github.com/rune-rs/rune								2,201
Rust	rust		2010	https://github.com/rust-lang/rust						https://en.wikipedia.org/wiki/Rust_(programming_language)	https://www.rust-lang.org	112,433	Rust	16	1.09	Rust	8	2.98	Rust	20
S	s												S	92							Yes	Yes	Yes	Statistical, precursor to R
SAS	sas												SAS	25	0.64						Yes	No	Yes	Proprietary statistical software
Scala	scala		2004	https://github.com/scala/scala3						https://en.wikipedia.org/wiki/Scala_(programming_language)	https://scala-lang.org	6,235	Scala	43	0.26	Scala	22	0.36	Scala	14
scheme	scheme		1975	https://github.com/jaseemabid/mit-scheme	TRUE					https://en.wikipedia.org/wiki/MIT/GNU_Scheme	https://www.gnu.org/software/mit-scheme/	6
scheme		steel	2020	https://github.com/mattwparas/steel
Scratch	scratch									https://en.wikipedia.org/wiki/Scratch_(programming_language)			Scratch	11	1.48						Yes	Yes	No	Visual language, not CLI compatible
Small Basic	small basic												Small Basic	93							Limited	Yes	Limited	Educational language
Smalltalk	smalltalk		1972	https://github.com/gnu-smalltalk/smalltalk						https://en.wikipedia.org/wiki/GNU_Smalltalk	https://gnu.org/software/smalltalk/	185	Smalltalk	94
Solidity	solidity			https://github.com/argotorg/solidity						https://en.wikipedia.org/wiki/Solidity		25,615	Solidity	49	0.23						Yes	Yes	Yes	Blockchain smart contracts
SQL	sql									https://en.wikipedia.org/wiki/SQL			SQL	8	1.75						Yes	Yes	Yes	Query language, not general-purpose
squirrel	squirrel		1999	https://github.com/albertodemichelis/squirrel						https://en.wikipedia.org/wiki/Squirrel_(programming_language)	https://squirrel-lang.org/	1,030
Swift	swift		2014	https://github.com/swiftlang/swift						https://en.wikipedia.org/wiki/Swift_(programming_language)	https://swift.org	69,943	Swift	19	0.92	Swift	6	3.15	Swift	11
Tcl	tcl		1988	https://github.com/tcltk/tcl						https://en.wikipedia.org/wiki/Tcl_(programming_language)		794	Tcl	95							Yes	Yes	Yes	Systems automation
teal	teal		2019	https://github.com/teal-language/tl							https://teal-language.org	2,728
tengo	tengo		2018	https://github.com/d5/tengo								3,800
Transact-SQL	transact-sql												Transact-SQL	44	0.25						Yes	Freemium	Yes	SQL Server dialect
TypeScript	typescript		2012	https://github.com/microsoft/TypeScript						https://en.wikipedia.org/wiki/TypeScript	https://www.typescriptlang.org	108,705	typescript	34	0.37	TypeScript	12	1.80	TypeScript	6
umka	umka		2020	https://github.com/vtereshkov/umka-lang								2,022
unison	unison		2015	https://github.com/unisonweb/unison								6,599
V	v		2019	https://github.com/vlang/v						https://en.wikipedia.org/wiki/V_(programming_language)	https://vlang.io/	37,512	V	96
vala	vala		2006	https://github.com/gnome/vala						https://en.wikipedia.org/wiki/Vala_(programming_language)	https://gnome.pages.gitlab.gnome.org/vala/manual/index.html	883	vala	97
vale	vale		2020	https://github.com/ValeLang/Vale								1,979
VB.Net	vb.net		2001	https://github.com/dotnet/vblang						https://en.wikipedia.org/wiki/Visual_Basic_.NET	https://docs.microsoft.com/en-us/dotnet/visual-basic/	323	Visual Basic	7	3.02	Visual Basic	26	0.17			Limited	No	Limited	Windows-centric, poor Linux support
VBScript	vbscript												VBScript	36	0.34						No	Yes	No	Windows-only scripting
VHDL	vhdl			https://github.com/ghdl/ghdl						https://en.wikipedia.org/wiki/VHDL		2,803	VHDL	98							Yes	Yes	Yes	Hardware description
Visual Basic	visual-basic-classic												Classic Visual Basic	26	0.61	VBA	19	0.85			No	No	Limited	Legacy Windows language
Visual FoxPro	visual foxpro												Visual FoxPro	50	0.23						No	No	No	Legacy Windows database
Wolfram	wolfram			https://github.com/wolframresearch						https://en.wikipedia.org/wiki/Wolfram_Language			Wolfram	99							Yes	Freemium	Yes	Symbolic math language
wren	wren		2013	https://github.com/wren-lang/wren							http://wren.io	7,961
X++	x-plus-plus												X++	42	0.27						No	No	No	Microsoft Dynamics specific
Xgo	xgo		2020	https://github.com/goplus/xgo								9,413										Yes		Go-based Python superset
Xojo	xojo												Xojo	100							Yes	Freemium	Yes	Cross-platform RAD tool
Xonsh			2015	https://github.com/xonsh/xonsh							http://xon.sh	9,299
Zig	zig		2016	https://github.com/ziglang/zig						https://en.wikipedia.org/wiki/Zig_(programming_language)	https://ziglang.org/	42,876	Zig	39	0.31	Zig	24	0.24
ZSH			1990	https://github.com/zsh-users/zsh						https://en.wikipedia.org/wiki/Z_shell	http://www.zsh.org	4,174
